lat,lon,tipo,suc,timestamp
19.36673376,-99.156948,DERRUMBE,PROLONGACION PETEN Y ZAPATA #915. EDIFICIO DERRUMBE,2017-10-17 12:00:00
19.4931534,-99.1231468,DERRUMBE,COQUIMBO 911 #909. RESIDENCIAL DERRUMBE,2017-10-17 12:00:00
19.42212395,-99.13990997,DERRUMBE,CHIMALPOPOCA Y SIMON BOLIVAR #190. INDUSTRIA DERRUMBE,2017-10-17 12:00:00
19.38768641,-99.16404336,DERRUMBE,GABRIEL MANCERA Y ESCOCIA #735. EDIFICIO DERRUMBE,2017-10-17 12:00:00
19.3605860773,-99.1402629209,DERRUMBE,BALSAS 18 Y PLUTARCO #18. EDIFICIO DERRUMBE,2017-10-17 12:00:00
19.33848653,-99.14219137,DERRUMBE,TLALPAN FOVISSSTE #1C. EDIFICIO DERRUMBE,2017-10-17 12:00:00
19.41325421,-99.1648031,DERRUMBE,SAN LUIS POTOSA Y MEDELLIN #176. RESIDENCIAL/COMERCIAL DERRUMBE,2017-10-17 12:00:00
19.34277731,-99.14153338,DERRUMBE,CALZADA TAXQUEAA Y AV. DE LAS TORRES #2050. EDIFICIO/COMERCIO DERRUMBE,2017-10-17 12:00:00
19.3231061161,-99.2908143592,DERRUMBE,TEXCALTITLA Y CACALOAC #4. CASA DERRUMBE,2017-10-17 12:00:00
19.38739928,-99.16258022,DERRUMBE,ESCOCIA Y EDIMBURGO #None. EDIFICIO DERRUMBE,2017-10-17 12:00:00
19.3980551912,-99.1552170344,DERRUMBE,YACATAS Y CONCEPCION BEISTEGUI #None. EDIFICIO DERRUMBE,2017-10-17 12:00:00
19.4023262084,-99.1613859395,DERRUMBE,VIADUCTO MIGUEL ALEMAN Y TORREON #106. EDIFICIO DERRUMBE,2017-10-17 12:00:00
19.3876076277,-99.1465583767,DERRUMBE,GALICIA ESQUINA NIAOS HEROES #None. EDIFICIO DERRUMBE,2017-10-17 12:00:00
19.3730478817,-99.1377874435,DERRUMBE,IROLO Y BRETAAA 90 #90. EDIFICIO DERRUMBE,2017-10-17 12:00:00
19.398835353,-99.1588368117,DERRUMBE,ENRIQUE REBSAMEN Y LA MORENO #None. EDIFICIO DERRUMBE,2017-10-17 12:00:00
19.3638500509,-99.1387613972,DERRUMBE,ZAPATA 57 ESQUINA TLALPAN #57. EDIFICIO DERRUMBE,2017-10-17 12:00:00
19.3648910901,-99.1516891806,DERRUMBE,SARATOGA 714 Y EMILIANO ZAPATA #None. EDIFICIO DERRUMBE,2017-10-17 12:00:00
19.2966354026,-99.1305662607,DERRUMBE,CALZADA BRUJAS Y RANCHO TAMBORERO #None. ESCUELA DERRUMBE,2017-10-17 12:00:00
19.4129845582,-99.1709114933,DERRUMBE,LAREDO Y AMSTERDAM #None. RESIDENCIA DERRUMBE,2017-10-17 12:00:00
19.4162448665,-99.168430684,DERRUMBE,ALVARO OBREGON 286 #None. RESIDENCIAL DERRUMBE,2017-10-17 12:00:00
19.4169146972,-99.1683695402,DERRUMBE,ALVARO OBREGON 283 #283. RESIDENCIAL DERRUMBE,2017-10-17 12:00:00
19.4210889711,-99.1691306425,DERRUMBE,PUEBLA 282 #282. RESIDENCIAL DERRUMBE,2017-10-17 12:00:00
19.41458908,-99.16923589,DERRUMBE,SONORA 149 #None. RESIDENCIAL DERRUMBE,2017-10-17 12:00:00
19.4496828419,-99.1622184738,DERRUMBE,SALVADOR DIAZ MIRON Y SABINO #None. RESIDENCIAL DERRUMBE,2017-10-17 12:00:00
19.4159011629,-99.1679947408,DERRUMBE,AMSTERDAM 25 #25. RESIDENCIAL DERRUMBE,2017-10-17 12:00:00
19.5004664399,-99.0830195501,DERRUMBE,AVENIDA 314 Y AVENIDA 323 #None. RESIDENCIAL DERRUMBE,2017-10-17 12:00:00
19.32958248,-99.1250123,DERRUMBE,SANTA ANA Y EJIDO SANTA CRUZ #None. CASA DERRUMBE,2017-10-17 12:00:00
19.303615763,-99.1250186373,DERRUMBE,RANCHO DEL ARCO Y CALZADA DEL HUESO #None. EDIFICIO DERRUMBE,2017-10-17 12:00:00
19.2921036275,-99.1225932393,DERRUMBE,TRANCAS NUMERO 40 #40. BODEGA DERRUMBE,2017-10-17 12:00:00
19.28332696,-99.13513896,DERRUMBE,CALLE PUENTE 222 #None. UNIVERSIDAD PRIVADA CEDETEC DERRUMBE,2017-10-17 12:00:00
19.2537986925,-99.0582833005,DERRUMBE,INSURGENTES Y VICENTE GUERRERO #40. RESIDENCIA DERRUMBE,2017-10-17 12:00:00
19.2530958579,-99.0561199496,DERRUMBE,MEXICO Y LAZARO CARDENAS #None. COMERCIO DERRUMBE,2017-10-17 12:00:00
19.398268,-99.168653,DERRUMBE,PATRICIO SAENZ 37 Y XOLA #37. EDIFICIO DERRUMBE,2017-10-17 12:00:00
19.304251,-99.12478,DERRUMBE,MIRAMONTES Y CALZADA DEL HUESO #None. EDIFICIO/COMERCIO DERRUMBE,2017-10-17 12:00:00
19.412619,-99.155254,DERRUMBE,COAHUILA 10 #10. RESIDENCIAL DERRUMBE,2017-10-17 12:00:00
19.3611756,-99.1217643,DERRUMBE,CALZADA DE LA VIGA 1756 #1756. EDIFICIO DERRUMBE,2017-10-17 12:00:00
19.2477712,-99.0911551,DERRUMBE,CALZADA NUEVA XOCHIMILCO-TULYEHUALCO 191 #191. COMERCIO DERRUMBE,2017-10-17 12:00:00
19.32079,-99.0973267,DERRUMBE,PASEO DE LAS GALIAS 47 #47. RESIDENCIAL DERRUMBE,2017-10-17 12:00:00
